Name,Ownership,Type,Gender,Province
Skill Development center,Private,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Vocational Training Institute Help in need,Private,Vocational,Male,Azad Jammu Kashmir   /   Bagh
Vocational Training Center (Female) REHRA,Private,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Government Vocational Training Institute (Female) Kahuta,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Government Vocational Training Institute (Female) DHIR Kot,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Vocational Training Center (Male) Dhir Kot,Private,Vocational,Male,Azad Jammu Kashmir   /   Bagh
Umer Computers,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Institute Plate,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Government Vocational Training Center (Female) Islam Ghar,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Vocational Training Center SAMANI,Government,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
"Vocational Training Center (Female) Kakra, Mirpur",Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
"Vocational Training Center Jandi Chontra, Bhimber",Private,Vocational,Female,Azad Jammu Kashmir   /   Bhimber
Vocational Training Center Kardala,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center Female,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Silcon technical Institute of Technology,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Kashmir Computer Training Institute,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center (Male),Government,Vocational,Male,Azad Jammu Kashmir   /   Sudhnutti
Vocational Training Center Rawalakot,Government,Vocational,Female,Azad Jammu Kashmir   /   Poonch
Vocational Training Center Pallandri,Government,Vocational,Female,Azad Jammu Kashmir   /   Sudhnutti
Vocational Training Center Mong,Government,Vocational,Female,Azad Jammu Kashmir   /   Sudhnutti
Moon Creations School of IT,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
NICON Computer Institute,Private,Vocational,Both,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center Hajeera,Government,Vocational,Female,Azad Jammu Kashmir   /   Poonch
Pak Hands,Private,Vocational,Male,Azad Jammu Kashmir   /   Bagh
Vocational Training Center Trarkhaz,Government,Vocational,Female,Azad Jammu Kashmir   /   Sudhnutti
Vocational Training Center (Female)Bagh,Government,Vocational,Female,Azad Jammu Kashmir   /   Bagh
Vocational Training Center (Female) Chakar,Government,Vocational,Female,Azad Jammu Kashmir   /   Hattian
Vocational Training Center (Female) Garthama,Government,Vocational,Female,Azad Jammu Kashmir   /   Hattian
Vocational Training Center Leepa,Government,Vocational,Female,Azad Jammu Kashmir   /   Muzaffarabad
Vocational Training Center (Female) Mirpur,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
Vocational Training Center (Female) Bankurma,Government,Vocational,Female,Azad Jammu Kashmir   /   Mirpur
