Name ,Address,Phone
Govt. Special Education Center," Ravi Town, Ali Park, Fort Road Lahore.",042-99238145
Govt. Special Education Center," Shalimar Town, H/No.982/A, block B-1, Gujjarpura Scheme Lahore.",042-36848363
Govt. Special Education Center," Aziz Bhatti Town, St. No. 2, Afzal  Park, Harbanspura,  Lahore.",042-36542841
Govt. Special Education Center," Haji Park G.T. Road  Wagha Town, Lahore",042-36581919
Govt. Special Education Center," Nishtar Town, 389 B-III, Johar Town, Lahore",042-35237179
Govt. Special Education Center, Raiwind,-
Govt. Special Education Center, Muridkey Rehman pura.,37990006
Govt. Special Education Center, Sharaq Pur Sharif Near Darbar mai Hallow.,056-2590181
Govt. Special Education Center," Ferozwala. House No. 42 Asif Block Main G.T Road,",056-37961739
Govt. Special Education Centre ,"Safdarabad, Sheikhupura.",046-3862866
Govt. Special Education Center, Nankana Sahib Near Guru Nanak High School.,056-2877099
Govt. Special Education Center," Sangla Hill DSP House, Near Shell Petrol  Pump.",056-3703113
Govt. Special Education Center, Shah Kot Raja Colony Ward No.9 Near Dahaba Road.,056-3712713
Govt. Special Education Center," Pattoki Insaf City Phase-I, Halla Road.",049-4426133
Govt. Special Education Center," Chunian Zaffar Town Near TMA Office, District Kasur.",049-4311567
Govt.Special Education Centre, Kot Radha Kishan Mian Singh Road.,049-9239068
Govt. Special Education Centre," Kotchuta,",-
Govt. Special Education Centre, Muzaffargarh.,-
Government Special Education Centre, Ali pur Complex.,066-2701800
Govt. Special Education Centre," Taunsa,",-
Govt. Special Education Centre, Rojhan,0604-610090
Govt. Special Education Centre, Jampur,-
Govt. Special Education Centre, Fazilpur,-
Government Special Education Centre, Jatoi Near Police Station.,066-2591290
Government Special Education Centre, Kot Addu Near Hockey Stadium Girls College Road.,066-2239386
Government Special Education Centre, Layyah. Employs Colony Near By Sadar Thana.,-
Government Special Education Centre, Chowbara Behind Govt. High School.,-
Government Special Education Centre, Karor Near THQ Hospital.,0606-810043
Govt. Special Education Centre," Bosan Town,",061-6211187
Govt. Special Education Centre," Munmtazabad,",-
Govt. Special Education Centre, Sher Shah Town.,061-4580399
Govt. Special Education Centre," Jalalpur Pirwala,",061-9239532
Govt. Special Education Centre," Shujabad,",061-9239958
Govt. Special Education Centre," Kabirwala,",065-2410554
Govt. Special Education Centre, Jahanian,065-2212600
Govt. Special Education Centre, Vehari.,-
Govt. Special Education Centre, Mianchannu,065-2662171
Govt. Special Education Centre," Lodhran,",0608-9200167
Govt. Special Education Centre, Duniapur.,0608-305488
Govt. Special Education Centre, Kror Pacca,0608-923072
Govt. Special Education Centre, Mailsi,067-3751114
Govt. Special Education Centre, Burewala,067-9200091
Govt. Special Education Centre, Chichawatni,040-5483616
Govt. Special Education Centre," Arifwala,",-
Govt. Special Education Centre," Depalpur Kari wala House Zia-Ud-Din Colony, Depalpur",044-2023975
Govt. Special Education Centre," Renala Khurd 177/D, Govt. Housing Scheme, Renala Khurd",044-2636434
Govt. Special Education Centre," Jinnah Town,",041-2691051
Govt. Special Education Centre," Iqbal Town,",041-9239038
Govt. Special Education Centre," Lyallpur Town,",041-8845388
Govt. Special Education Centre, Jaranwala,041-9237037
Govt. Special Education Centre," Tandlianwala,",041-3442941
Govt. Special Education Centre, Sammundari,041-3422421
Govt. Special Education Centre," Chak Jhumra,",041-8761262
Govt. Special Education Centre, Shorkot Near Faiz-e-Madina Chowk,-
Govt. Special Education Centre, Ahmadpur Sial,047-5340019
Govt. Special Education Centre," 18-Hazari, Jhang. (Newly Established)",-
Govt. Special Education Centre, Lallian. Near Jamia Masjid Jhang Road,-
Govt. Special Education Centre, Bhowana.,047-6201212
Govt. Special Education Centre," Gojra,",046-9200074
Govt. Special Education Centre, Kamalia,-
Govt. Special Education Centre, Pir Mahal. (Newly Established),-
Govt. Special Education Centre, Toba Tak Singh,046-2516827
Govt. Special Education Center, Bhalwal Chak No,048-6644587
Govt. Special Education Center, Sahiwal  Muhala High Secondary School Same Nala,048-6786437
Govt. Special Education Center," Kot Moman,  Near Chungi No-5 Salam Road",048-6682953
Govt. Special Education Center, Shahpur Sadar,048-6310580
Govt. Special Education Center ,Sillanwali Dsitrict Sargodha,048-9239174
Govt. Special Education Center ,"Bhera, Dsitrict Sargodha",-
Govt. Special Education Centre, Isa Khel Muhalla Bambryanwala  Near Girls Degree college,045-9285663
Govt. Special Education Centre," Piplan House of Abdul Aziz Khan (Late), Muhalla Ayyub Abad",045-9201391
Govt. Special Education Center, Bhakkasr,0453-9200150
Govt. Special Education Center, Darya Khan,0453-253220
Govt. Special Education Center," Mankara,",0453-410599
Govt. Special Education Center, Kalurkot.,045-3200954
Govt. Special Education Centre, Noorpur Main Joharabad Near Govt. Degree College Grils,0454-850271
Govt. Special Education Centre, Qaidabad.,0454-880235
Govt. Special Education Center, Saddar Bahawalpur,062-9255060
Govt. Special Education Center," Ahmad Pur East Shahi Wala Road, Near Dera Nawab Sahib Police Station Ahmad Pur East",062-2273500
Govt. Special Education Center, Hasilpur Ramey Town Near Ramey Petrol Pump Main Bahawalpur.,062-2449313
Govt. Special Education Center, Khairpur Tamewali Near Al Noor Ice factory.,062-9239095
Govt. Special Education Centre," Mandi Yazman, Near Habib Bank",062-2702240
Govt. Special Education Centre, Bahawalnagar.,063-2277072
Govt. Special Education Centre, Minchanabad,063-2750312
Govt. Special Education Centre, Haroonabad,063-2256513
Govt. Special Education Centre," Chistian House No: 04, Street No: 01, Ali Town, Tehsil Chistian",063-9239090
Govt. Special Education Centre, Fort Abbes,063-2511510
Govt. Special Education Centre, R.Y. Khan. Abbasi Town Near Nehar Kinara in Front of new Stadium,068-9239106
Govt. Special Education Centre, Sadiqabad,068-5905131
Govt. Special Education Centre," Aroop Town Mohalla Aliabad, Ice Factory, Near Sialkot Bypass, Gujranwala.",055-3827980
