Name,Address,Phone
Govt. High School of Special Education for Hearing Impaired (Girls)," Chuburgi, Lahore",042-37240501
Govt. High School of Special Education for Hearing Impaired (Boys)," 40-T Gulberg-II ,Lahore",042-99263308
Govt. Central High School for the Deaf," 40-T, Gulberg-II , Lahore",042-99263306
Govt. High School of Special Education for Hearing Impaired Children,,056-3782608
Govt. School Of Special Education For Hearing Impaired Children," Officers Colony, Kasur",049-9250033
"Govt High School of Special, Education for HI Children", D.G. Khan,064-7752646
Govt. School of Special Education for Hearing Impaired Children, Rajanpur Kotlah Ahmad,
"Govt High School of Special, Education for H.I. Children", Muzaffargarh,066-9239011
Govt. School of Special Education for Hearing Impaired Children Boys," F-Block, Shah Rukn-E-Alam Colony Multan.",061-9220174
Govt. School of Special Education for Hearing Impaired Children Girls," Writers Colony, Masoom Shah Road, Multan.",061-9220175
Govt. School of Special Education for Hearing Impaired Children," Khanewal. Farm Road, Jaswant Naggar, Khanewal",065-2554278
Govt. School of Special Education for Hearing Impaired Children," Vehari. Luddan Road Near Food Godam, Vehari",067-3365338
Govt. Higher Secondary School of Special Education (H.I), Sahiwal.,040-4550359
Govt. School of Special Education for Hearing Impaired Children," Pakpattan. 37/SP Road, Pakpattan",045-7353126
"Govt .High School of Special, Education for Hea,ring Impaired Children"," Okara Akbar Road, Fiaz Abad, Okara",044-9200076
Govt. School of Special Education for Hearing Impaired Children Boys," Faisalabad. Jaranwala Road, Faisalabad.",041-9220363
Govt. School of Special Education for Hearing Impaired Children Girls," Faisalabad. 24/A, People Colony, Faisalabad.",041-9220311
Govt. School of Special Education for Hearing Impaired Children," Jhang, Satellite Town Near Gojhra Road, Jhang .",047-9200304
Govt. School of Special Education for Hearing Impaired Children,,047-6333573
Govt. Secondary School of Special Education for Hearing Impaired Children (Boys),,048-3221313
Govt. High School of Special Education (HIC) Girls, Sargodha.,
Govt. School of Special Education for Hearing Impaired Children, Mianwali. Kala Bagh Road Muslim Colony Mianwali,0459-920108
Govt. School of Special Education for Hearing Impaired Children," Khushab. 14-Block, Joharabad, Khushab",0454-920169
Govt. School of Special Education for Hearing Impaired Children,"  Bahawalpur,  Baghdad-ul-Jaedeed Road, Bahawalpur",062-2284247
Govt. School of Special Education for Hearing Impaired Children,,068-5571901
Govt. School of Special Education for Hearing Impaired Children," 4-z, Block Peoples Colony, Gujranwala",055-9230137
Govt. School for Hearing Impaired Children," Baba Beri Pir, Naikapura, Zafarwal Road, Sialkot",052-3540708
Govt. Deaf & Defective Hearing School," Gujrat Near Shaheen Chowk, Sargodha Road.",053-3512708
Govt. Deaf & Defective Hearing School, Rawalpindi Humak G.T Road Swan Camp.,051-4917078
Govt. Deaf & Defective Hearing School, Attock People Colony.,057-2541322
Govt. Deaf & Defective Hearing School, Chakwal Tatral Road.,0543-553633
Govt. Deaf & Defective Hearing School, Jhelum Bilal Town.,0544-732374
Govt. Deaf & Defective Hearing School, Jalalpur Pirwala,061-9239956
Govt. School of Special Education for Hearing Impaired Children," T.T.Singh. Rajnna Road, Toba Tak Singh",046-2511827
Govt. School of Special Education for Hearing Impaired Children," Kamalia. Chah Shamunwala,",046-3415362
