Name,Url,Difficulty,Tags
"""Making"" Progress Teach-Out",https://coursera.org/learn/makingprogress,Beginner Level,"['Social Sciences', 'Governance and Society']"
(Business Writing) الكتابة في مجال الأعمال,https://coursera.org/learn/writing-for-business-ar,Beginner Level,"['Business', 'Business Essentials']"
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,https://coursera.org/learn/feedback-ar,None,"['Business', 'Business Essentials']"
(Successful Presentation) العرض التقديمي الناجح,https://coursera.org/learn/presentation-skills-ar,Beginner Level,"['Business', 'Business Essentials']"
.Net平台下的软件开发技术毕业项目,https://coursera.org/learn/net-ruanjian-kaifa-biye,None,"['Computer Science', 'Software Development']"
1.- El Cálculo - Modelo Lineal,https://coursera.org/learn/calculo-1,None,"['Math and Logic', 'Math and Logic']"
2.- El Cálculo - Modelo Cuadrático,https://coursera.org/learn/calculo-2,None,"['Math and Logic', 'Math and Logic']"
20世纪西方音乐 Western Music in the 20th Century,https://coursera.org/learn/20cnwm,Beginner Level,"['Arts and Humanities', 'Music and Art']"
3-Axis Machining with Autodesk Fusion 360,https://coursera.org/learn/3-axis-machining-autodesk-fusion-360,Advanced Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
3.- El Cálculo - Modelo Cúbico,https://coursera.org/learn/calculo-3,None,"['Math and Logic', 'Math and Logic']"
3D Art and Audio Pipeline,https://coursera.org/learn/3d-art-and-audio-pipeline,Intermediate Level,"['Computer Science', 'Software Development']"
3D CAD Application,https://coursera.org/learn/3d-cad-application,Intermediate Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
3D CAD Fundamental,https://coursera.org/learn/3d-cad-fundamental,Beginner Level,"['Physical Science and Engineering', 'Mechanical Engineering']"
3D Data Visualization for Science Communication,https://coursera.org/learn/data-visualization-science-communication,Beginner Level,"['Data Science', 'Data Analysis']"
3D Graphics in Android: Sensors and VR,https://coursera.org/learn/3d-graphics-android-sensors-vr,Advanced Level,"['Computer Science', 'Mobile and Web Development']"
Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE,https://coursera.org/learn/ictus-agudo-escala-race,Intermediate Level,"['Health', 'Patient Care']"
Brand & Content Marketing,https://coursera.org/learn/brand-and-content-marketing,Intermediate Level,"['Arts and Humanities', 'History']"
" Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado",https://coursera.org/learn/comercio-inmigracion-tipos-de-cambio,Beginner Level,"['Social Sciences', 'Economics']"
FPGA computing systems: Background knowledge and introductory materials,https://coursera.org/learn/fpga-intro,Beginner Level,"['Computer Science', 'Design and Product']"
Future Healthcare Payment Models,https://coursera.org/learn/healthcare-payment-models,Beginner Level,"['Health', 'Healthcare Management']"
Введение в iOS-разработку,https://coursera.org/learn/ios-razrabotka-na-swift,Intermediate Level,"['Computer Science', 'Mobile and Web Development']"
Geospatial and Environmental Analysis,https://coursera.org/learn/spatial-analysis,Intermediate Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
Combinatorics and Probability,https://coursera.org/learn/combinatorics,Beginner Level,"['Computer Science', 'Algorithms']"
Introducción a la Contabilidad Financiera,https://coursera.org/learn/wharton-contabilidad-financiera,None,"['Business', 'Business Strategy']"
"Surveillance Systems: Analysis, Dissemination, and Special Systems",https://coursera.org/learn/epidemiology-surveillance-systems-analysis,Beginner Level,"['Health', 'Public Health']"
Базы данных (Databases),https://coursera.org/learn/data-bases-intr,None,"['Data Science', 'Data Analysis']"
Finance for Everyone: Debt,https://coursera.org/learn/finance-debt,None,"['Business', 'Finance']"
Managing Big Data with MySQL,https://coursera.org/learn/analytics-mysql,None,"['Data Science', 'Data Analysis']"
Managing an Agile Team,https://coursera.org/learn/uva-darden-agile-team-management,None,"['Computer Science', 'Design and Product']"
ООП и паттерны проектирования в Python,https://coursera.org/learn/oop-patterns-python,Intermediate Level,"['Computer Science', 'Software Development']"
Introduction to advanced tomography,https://coursera.org/learn/cinemaxe,None,"['Physical Science and Engineering', 'Physics and Astronomy']"
Launching into Machine Learning en Français,https://coursera.org/learn/launching-machine-learning-fr,Intermediate Level,"['Data Science', 'Machine Learning']"
Creative Programming for Digital Media & Mobile Apps,https://coursera.org/learn/digitalmedia,None,"['Computer Science', 'Software Development']"
Spanish for Successful Communication in Healthcare Settings,https://coursera.org/learn/spanish-in-healthcare-settings,Intermediate Level,"['Health', 'Patient Care']"
Digital Product Management: Modern Fundamentals,https://coursera.org/learn/uva-darden-digital-product-management,Beginner Level,"['Business', 'Leadership and Management']"
Digital Competition in Financial Services,https://coursera.org/learn/digital-competition-financial-services,Beginner Level,"['Business', 'Business Strategy']"
Mathematics for Machine Learning: PCA,https://coursera.org/learn/pca-machine-learning,Intermediate Level,"['Data Science', 'Machine Learning']"
"Programming Foundations with JavaScript, HTML and CSS",https://coursera.org/learn/duke-programming-web,Beginner Level,"['Computer Science', 'Mobile and Web Development']"
Погружение в Python,https://coursera.org/learn/diving-in-python,Intermediate Level,"['Computer Science', 'Software Development']"
Probabilistic Graphical Models 2: Inference,https://coursera.org/learn/probabilistic-graphical-models-2-inference,Advanced Level,"['Data Science', 'Machine Learning']"
Evidence-based Toxicology,https://coursera.org/learn/evidence-based-toxicology,Beginner Level,"['Health', 'Basic Science']"
Identifying Social Entrepreneurship Opportunities,https://coursera.org/learn/social-entrepreneurship-opportunities,Beginner Level,"['Business', 'Entrepreneurship']"
Launching into Machine Learning,https://coursera.org/learn/launching-machine-learning,Intermediate Level,"['Data Science', 'Machine Learning']"
Global Strategy I: How The Global Economy Works,https://coursera.org/learn/global-strategy,None,"['Business', 'Business Strategy']"
Quantitative Research,https://coursera.org/learn/quantitative-research,Intermediate Level,"['Business', 'Marketing']"
