Name,Sector,Address,Phone,Email,Website
ABASYN UNIVERSITY,Private,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar.","92-91-258 2934, +92-91- 224867", admissions@abasyn.edu.pk ,http://www.abasyn.edu.pk/
Abbottabad University of Science and Technology (AUST),Public,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa",+92 (992) 402 117, info@aust.edu.pk ,http://aust.edu.pk
ABDUL WALI KHAN UNIVERSITY,Public,"Garden Campus Toru Road, Mardan","+92-937-843356, +92-937-840499", ua-cdc@awkum.edu.pk ,http://www.awkum.edu.pk
AIR UNIVERSITY,Public,"Service Road E-9 / E-8, Islamabad, Pakistan Islamabad 44000, Pakistan", +92-51-9262557-9 , amjad@mail.au.edu.pk ,http://www.au.edu.pk/ 
AL-HAMD ISLAMIC UNIVERSITY,Private,"Airport Road Quetta, Baleli Road, Quetta, Pakistan ","+92-81-2301771-6, 4, 3,2", info@aiu.edu.pk ,http://www.aiu.edu.pk
ALI INSTITUTE OF EDUCATION,Private,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000. ", +92.423 588 2913, info@aie.edu.pk ,http://www.aie.edu.pk/
ALLAMA IQBAL OPEN UNIVERSITY,Public,"Ashfaq Ahmed Road, H-8/2 Islamabad 44000, Pakistan",-650, support@aiou.edu.pk ,http://www.aiou.edu.pk
BAHAUDDIN ZAKARIYA UNIVERSITY,Public,"Bosan Road,Multan 60000, Multan, Pakistan",-9210038, registrar@bzu.edu.pk ,http://www.bzu.edu.pk
BAHRIA UNIVERSITY,Public,"Sector E-8 Shangrilla Rd, Islamabad, Pakistan",-209, info@bahria.edu.pk ,http://www.bahria.edu.pk/ 
Balochistan University of Engineering & Technology,Public,"Balochistan University of Engg & Technology (BUET), Khuzdar. ","+92-848-412834, +92-848-502100", info@buetk.edu.pk ,http://www.buetk.edu.pk
BALOCHISTAN UNIVERSITY OF INFORMATION TECHNOLOGY & MANAGEMENT SCIENCES,Public,"Balochistan University of Information Technology, Engineering and Management Sciences, Airport Road, Baleli, Quetta.","+92-81-2881042081, +92-81-9202", faisal.durrani@buitms.edu.pk ,http://www.buitms.edu.pk
BAQAI MEDICAL UNIVERSITY,Private,"51, Deh Tor, Gadap Road, Near Toll Plaza, Super Highway P.O Box No 2407, Karachi - 74600, Pakistan.","+92-21-34410-311, +92-21-34410", info@baqai.edu.pk ,http://www.baqai.edu.pk
BEACONHOUSE NATIONAL UNIVERSITY,Private,"13 KM Raiwaind Road, Near Jati Umrah Road, Lahore 54400. ",-38100106, info@bnu.edu.pk ,http://www.bnu.edu.pk
